               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07623,            0.041765,            0.053854,            0.095606,             0.39259,             0.13107,            0.059581,            0.039622,            0.013222,            0.040984,            0.070476,           0.0032804,           0.0032804
                   1,            0.050665,            0.024354,             0.04856,             0.11685,             0.60491,             0.17488,            0.070267,            0.041526,           0.0096226,            0.040743,            0.040463,           0.0066007,           0.0066007
                   2,            0.040039,            0.018971,            0.046922,             0.21004,             0.63634,             0.28392,             0.16178,            0.028972,           0.0071264,            0.034386,            0.010437,           0.0099077,           0.0099077
                   3,            0.032792,            0.016939,            0.041979,             0.22735,             0.45465,             0.25295,             0.17323,            0.031631,            0.010408,            0.040454,           0.0099406,           0.0099406,           0.0099406
                   4,            0.029241,            0.016996,            0.037104,             0.38972,             0.48938,             0.42482,             0.32133,            0.024307,            0.010657,            0.030842,           0.0099406,           0.0099406,           0.0099406
                   5,            0.026193,            0.016474,            0.031837,             0.49219,             0.55135,             0.45924,             0.34949,            0.023152,           0.0085567,            0.032786,           0.0099208,           0.0099208,           0.0099208
                   6,            0.025202,            0.015604,            0.028526,             0.24562,             0.38413,             0.23353,             0.18345,            0.028007,            0.018244,            0.037862,            0.009901,            0.009901,            0.009901
                   7,            0.023398,            0.015755,            0.027334,             0.57047,             0.72053,             0.68206,             0.54742,            0.019967,           0.0068681,            0.022147,           0.0098812,           0.0098812,           0.0098812
                   8,            0.022461,            0.015537,            0.026533,             0.25437,             0.41719,             0.33145,             0.27575,            0.021579,            0.013026,            0.036564,           0.0098614,           0.0098614,           0.0098614
                   9,            0.021698,            0.015471,            0.025145,             0.22112,             0.56168,             0.27087,             0.21874,             0.02118,            0.011096,            0.047566,           0.0098416,           0.0098416,           0.0098416
                  10,            0.020697,            0.014978,            0.023083,             0.65693,             0.62289,             0.65752,             0.54057,            0.019377,            0.007933,             0.02626,           0.0098218,           0.0098218,           0.0098218
                  11,            0.020323,            0.014135,            0.021175,             0.89018,             0.87933,             0.90542,             0.75393,            0.017126,           0.0061301,           0.0084865,            0.009802,            0.009802,            0.009802
                  12,            0.020389,            0.013955,            0.021728,             0.72224,             0.72478,             0.74637,              0.6249,            0.019075,           0.0083687,             0.01554,           0.0097822,           0.0097822,           0.0097822
                  13,            0.019283,            0.014335,            0.022597,             0.76542,             0.80142,             0.84603,             0.65469,            0.021638,           0.0067519,            0.014004,           0.0097624,           0.0097624,           0.0097624
                  14,             0.01972,              0.0141,            0.020945,             0.80104,             0.72489,             0.82463,             0.69471,             0.01815,           0.0070873,            0.014114,           0.0097426,           0.0097426,           0.0097426
                  15,            0.018985,            0.013769,            0.020886,              0.7404,             0.55934,             0.61795,             0.51145,            0.019914,           0.0097866,            0.021041,           0.0097228,           0.0097228,           0.0097228
                  16,            0.018698,             0.01446,            0.019717,             0.74533,             0.74416,             0.80015,             0.69341,             0.01655,           0.0066791,            0.018283,            0.009703,            0.009703,            0.009703
                  17,            0.017565,            0.013091,            0.020026,             0.70185,             0.45002,             0.51438,              0.4292,            0.022738,            0.015126,            0.018844,           0.0096832,           0.0096832,           0.0096832
                  18,            0.017838,            0.013253,            0.020259,             0.85682,             0.84567,             0.87644,             0.76376,            0.016573,           0.0060525,             0.01174,           0.0096634,           0.0096634,           0.0096634
                  19,             0.01704,            0.013705,            0.018609,             0.82344,             0.77096,             0.84777,             0.74552,            0.016215,           0.0067114,            0.013419,           0.0096436,           0.0096436,           0.0096436
                  20,            0.016944,            0.012915,             0.01923,             0.77076,              0.7179,             0.79471,             0.69358,            0.017654,           0.0095656,            0.020271,           0.0096238,           0.0096238,           0.0096238
                  21,            0.016505,            0.012816,            0.019337,             0.90681,             0.80846,             0.90851,              0.7942,            0.017895,           0.0061705,           0.0087809,            0.009604,            0.009604,            0.009604
                  22,            0.016706,            0.013158,            0.019189,             0.91802,             0.87811,             0.91559,             0.81061,            0.016116,           0.0063795,           0.0073793,           0.0095842,           0.0095842,           0.0095842
                  23,            0.016282,             0.01299,            0.017978,             0.93336,             0.89873,             0.92359,             0.80964,            0.016128,           0.0063071,           0.0072636,           0.0095644,           0.0095644,           0.0095644
                  24,            0.016444,            0.013192,            0.017725,             0.92086,             0.91709,             0.93367,             0.81804,             0.01621,           0.0058437,           0.0063061,           0.0095446,           0.0095446,           0.0095446
                  25,            0.015709,            0.012464,            0.018299,             0.86298,             0.86051,             0.88784,             0.78753,             0.01615,           0.0060951,           0.0096176,           0.0095248,           0.0095248,           0.0095248
                  26,            0.015711,            0.012858,            0.018428,             0.80438,             0.64691,             0.74576,             0.67159,            0.017188,           0.0081789,            0.019769,            0.009505,            0.009505,            0.009505
                  27,             0.01583,             0.01294,            0.018897,             0.91455,             0.89958,             0.91873,             0.82327,            0.014917,           0.0057777,           0.0071075,           0.0094852,           0.0094852,           0.0094852
                  28,            0.015597,            0.012077,            0.018457,             0.82969,             0.79912,             0.84306,             0.71821,            0.017722,           0.0072163,            0.012439,           0.0094654,           0.0094654,           0.0094654
                  29,            0.015658,            0.012341,            0.017769,             0.90176,              0.9135,             0.91797,             0.82195,            0.015575,           0.0060336,           0.0072045,           0.0094456,           0.0094456,           0.0094456
                  30,            0.014936,            0.012056,            0.018998,             0.93442,             0.89146,             0.92887,             0.84852,            0.014802,           0.0060742,           0.0070225,           0.0094258,           0.0094258,           0.0094258
                  31,            0.015342,            0.011982,            0.019084,               0.908,             0.87864,             0.91249,             0.82018,            0.015387,           0.0069238,           0.0081645,            0.009406,            0.009406,            0.009406
                  32,            0.014774,            0.011805,            0.016827,             0.90195,             0.91201,             0.92401,              0.8379,            0.015216,           0.0056444,           0.0071927,           0.0093862,           0.0093862,           0.0093862
                  33,            0.014634,            0.012068,            0.018362,             0.94206,             0.92333,             0.93937,             0.84426,            0.014569,           0.0055891,           0.0063503,           0.0093664,           0.0093664,           0.0093664
                  34,            0.014729,            0.011119,            0.017013,             0.89604,               0.863,             0.90836,             0.82151,            0.015453,           0.0061775,           0.0091502,           0.0093466,           0.0093466,           0.0093466
                  35,            0.014547,             0.01132,             0.01753,             0.86554,             0.91836,             0.92911,             0.82298,            0.015286,            0.005686,           0.0080425,           0.0093268,           0.0093268,           0.0093268
                  36,            0.014546,            0.011309,            0.017282,             0.71238,             0.76768,               0.787,              0.7091,            0.015269,           0.0068548,            0.021491,            0.009307,            0.009307,            0.009307
                  37,            0.014166,            0.011385,            0.019248,             0.80739,             0.83578,             0.89216,             0.80871,            0.015319,           0.0057442,            0.010426,           0.0092872,           0.0092872,           0.0092872
                  38,            0.014046,            0.011487,              0.0168,             0.91752,             0.90305,             0.91879,             0.83803,             0.01471,           0.0058827,           0.0071347,           0.0092674,           0.0092674,           0.0092674
                  39,            0.013573,            0.010903,            0.017539,             0.92563,             0.88186,             0.92837,              0.8346,            0.014858,           0.0058908,           0.0061829,           0.0092476,           0.0092476,           0.0092476
                  40,            0.013923,            0.011224,            0.017215,             0.93675,             0.88619,              0.9109,              0.8382,            0.014492,           0.0056952,           0.0063723,           0.0092278,           0.0092278,           0.0092278
                  41,            0.013587,            0.010966,            0.017865,             0.73755,             0.57825,               0.634,             0.57399,            0.016839,            0.011068,            0.028285,            0.009208,            0.009208,            0.009208
                  42,            0.013714,            0.011417,            0.016763,             0.92861,             0.89681,             0.92306,              0.8357,            0.014652,           0.0057209,           0.0066502,           0.0091882,           0.0091882,           0.0091882
                  43,            0.013402,             0.01107,            0.017892,             0.92474,             0.86171,             0.89389,             0.81061,            0.015549,           0.0067128,            0.008532,           0.0091684,           0.0091684,           0.0091684
                  44,            0.013834,            0.011023,            0.017669,             0.92945,             0.88459,             0.90098,             0.82452,            0.014628,           0.0060043,           0.0079999,           0.0091486,           0.0091486,           0.0091486
                  45,            0.013862,            0.011402,            0.016537,             0.94217,             0.93512,             0.94493,             0.86492,            0.014307,           0.0053259,           0.0063555,           0.0091288,           0.0091288,           0.0091288
                  46,            0.013118,            0.011165,            0.016451,             0.88654,             0.88174,             0.90613,             0.83285,            0.013689,           0.0061301,           0.0083486,            0.009109,            0.009109,            0.009109
                  47,            0.012946,            0.010575,            0.016467,             0.90562,             0.78482,             0.87538,             0.80139,            0.014671,           0.0080217,           0.0081233,           0.0090892,           0.0090892,           0.0090892
                  48,            0.012978,            0.011316,            0.016321,             0.92576,             0.86851,             0.90887,             0.83376,            0.014152,           0.0063582,           0.0056698,           0.0090694,           0.0090694,           0.0090694
                  49,            0.013239,            0.010339,            0.017481,             0.92559,              0.9138,             0.91162,             0.85255,            0.014222,           0.0059074,           0.0064124,           0.0090496,           0.0090496,           0.0090496
                  50,            0.013217,            0.010609,            0.017159,             0.93472,               0.899,             0.93063,             0.84594,            0.014087,           0.0055743,           0.0058529,           0.0090298,           0.0090298,           0.0090298
                  51,            0.013102,            0.010624,            0.016305,             0.93217,             0.85869,             0.88949,             0.81243,            0.014928,           0.0066474,           0.0066086,             0.00901,             0.00901,             0.00901
                  52,            0.013422,            0.010682,            0.017257,             0.91714,             0.89556,             0.92248,             0.85184,            0.013718,           0.0057082,           0.0060074,           0.0089902,           0.0089902,           0.0089902
                  53,            0.012974,            0.010574,            0.017208,              0.8941,             0.82603,             0.88994,             0.80712,            0.014979,           0.0069577,           0.0070471,           0.0089704,           0.0089704,           0.0089704
                  54,            0.012811,            0.010725,            0.017232,             0.86161,             0.76715,             0.81451,             0.74729,            0.014568,           0.0073222,           0.0091692,           0.0089506,           0.0089506,           0.0089506
                  55,            0.012983,            0.010774,            0.016784,             0.88684,             0.83272,              0.8747,             0.80711,            0.014733,           0.0066784,           0.0082732,           0.0089308,           0.0089308,           0.0089308
                  56,            0.012995,            0.011127,            0.018741,             0.94356,             0.88616,             0.90489,             0.82931,            0.014665,           0.0061292,           0.0072584,            0.008911,            0.008911,            0.008911
                  57,            0.012465,            0.010511,            0.016335,             0.92455,             0.91752,             0.92624,             0.85766,            0.013722,           0.0055074,           0.0054219,           0.0088912,           0.0088912,           0.0088912
                  58,             0.01282,            0.010519,            0.016944,             0.64242,             0.55852,             0.59606,             0.54069,            0.017502,            0.010398,            0.039606,           0.0088714,           0.0088714,           0.0088714
                  59,            0.012984,            0.010801,            0.016784,             0.94019,             0.90114,             0.91253,              0.8516,            0.015376,           0.0058321,            0.005152,           0.0088516,           0.0088516,           0.0088516
                  60,            0.012676,             0.01057,            0.015636,             0.90772,              0.9023,             0.92496,             0.85828,            0.014678,           0.0055897,             0.00655,           0.0088318,           0.0088318,           0.0088318
                  61,            0.012333,            0.010735,            0.015643,             0.72568,             0.66444,             0.72333,             0.66142,            0.015542,           0.0073267,             0.02438,            0.008812,            0.008812,            0.008812
                  62,            0.012856,             0.01061,             0.01557,             0.93506,             0.89037,             0.92449,             0.86242,            0.014213,           0.0058413,           0.0061276,           0.0087922,           0.0087922,           0.0087922
                  63,            0.012429,            0.010014,            0.015925,             0.91802,             0.82988,             0.87344,             0.80912,            0.014588,           0.0071569,           0.0083855,           0.0087724,           0.0087724,           0.0087724
                  64,            0.012077,            0.010075,            0.017093,             0.93968,              0.8676,             0.89911,             0.83404,            0.014179,           0.0066144,           0.0069168,           0.0087526,           0.0087526,           0.0087526
                  65,            0.012309,            0.010131,            0.017328,             0.88077,             0.79309,             0.85489,              0.7902,            0.014915,           0.0083985,           0.0094431,           0.0087328,           0.0087328,           0.0087328
                  66,            0.012023,             0.01046,            0.016997,             0.92747,             0.91058,             0.92707,             0.85539,            0.014196,           0.0059401,           0.0070797,            0.008713,            0.008713,            0.008713
                  67,            0.011842,             0.01041,            0.015433,             0.91062,             0.91235,             0.91776,             0.86067,            0.013349,           0.0054373,           0.0054734,           0.0086932,           0.0086932,           0.0086932
                  68,            0.011791,            0.010308,            0.017757,             0.90809,             0.89393,             0.92469,             0.86067,            0.013003,           0.0053586,           0.0068962,           0.0086734,           0.0086734,           0.0086734
                  69,            0.012313,            0.010905,            0.016506,             0.87472,             0.74961,             0.85281,             0.78196,            0.015562,           0.0080853,            0.013211,           0.0086536,           0.0086536,           0.0086536
                  70,            0.012245,             0.01054,            0.016124,             0.90745,             0.88724,             0.91263,             0.85119,             0.01385,           0.0061181,           0.0061825,           0.0086338,           0.0086338,           0.0086338
                  71,            0.012041,            0.010333,            0.016003,             0.90867,             0.87328,              0.9149,             0.85249,             0.01367,           0.0063253,           0.0052033,            0.008614,            0.008614,            0.008614
                  72,            0.012195,            0.010498,            0.016356,             0.93441,             0.90346,              0.9239,             0.85911,            0.014372,            0.005458,           0.0067039,           0.0085942,           0.0085942,           0.0085942
                  73,            0.011752,            0.010177,            0.016964,             0.90794,             0.89379,              0.9014,             0.83959,             0.01388,           0.0059433,           0.0060462,           0.0085744,           0.0085744,           0.0085744
                  74,            0.012064,            0.010434,            0.017183,             0.72189,             0.50179,             0.58299,             0.53601,            0.014607,           0.0087618,            0.031943,           0.0085546,           0.0085546,           0.0085546
                  75,             0.01176,            0.010034,            0.015875,             0.88976,             0.70396,             0.77871,             0.70834,            0.015277,            0.010118,            0.011797,           0.0085348,           0.0085348,           0.0085348
                  76,            0.011825,            0.010057,            0.016472,             0.89284,             0.85922,             0.89473,             0.83267,            0.014347,            0.006125,           0.0081212,            0.008515,            0.008515,            0.008515
                  77,            0.011523,           0.0098504,            0.016714,             0.90655,             0.90041,             0.91248,             0.85163,            0.013895,           0.0055137,           0.0075836,           0.0084952,           0.0084952,           0.0084952
                  78,            0.012116,            0.010186,            0.016103,             0.93685,             0.87759,             0.91521,             0.85986,            0.013678,           0.0058428,           0.0071736,           0.0084754,           0.0084754,           0.0084754
                  79,            0.011598,           0.0099872,            0.017194,             0.83043,             0.70268,             0.80393,             0.74669,            0.015108,           0.0094288,            0.015017,           0.0084556,           0.0084556,           0.0084556
                  80,             0.01186,            0.010577,            0.016026,             0.72723,             0.73919,             0.80992,             0.75726,            0.015253,           0.0084449,            0.019275,           0.0084358,           0.0084358,           0.0084358
                  81,            0.011431,           0.0098483,            0.016729,             0.91421,             0.87301,             0.90005,             0.84585,            0.014033,           0.0063897,           0.0058465,            0.008416,            0.008416,            0.008416
                  82,            0.011635,           0.0098028,            0.016036,             0.88995,             0.87582,             0.90343,             0.84343,            0.013797,           0.0058137,           0.0067832,           0.0083962,           0.0083962,           0.0083962
                  83,            0.011474,           0.0096975,            0.015973,             0.93084,              0.8855,             0.91042,             0.85687,            0.013606,           0.0058077,           0.0063145,           0.0083764,           0.0083764,           0.0083764
                  84,            0.011422,           0.0096853,            0.015868,             0.93773,              0.8895,             0.91577,             0.85952,            0.013511,           0.0061876,           0.0063151,           0.0083566,           0.0083566,           0.0083566
                  85,            0.011571,            0.010271,            0.015829,             0.88409,             0.75147,               0.822,             0.76116,             0.01574,            0.010146,             0.01068,           0.0083368,           0.0083368,           0.0083368
                  86,            0.011318,           0.0098065,            0.016049,             0.92253,             0.90278,              0.9322,             0.87414,            0.014288,           0.0054687,           0.0051043,            0.008317,            0.008317,            0.008317
                  87,            0.010985,           0.0090699,            0.015877,             0.93191,             0.90404,             0.92614,             0.87082,            0.013367,           0.0054141,            0.005361,           0.0082972,           0.0082972,           0.0082972
                  88,            0.011423,           0.0097882,             0.01613,             0.91026,             0.87907,             0.90766,             0.85444,            0.013603,           0.0061179,           0.0069478,           0.0082774,           0.0082774,           0.0082774
                  89,             0.01157,           0.0099649,            0.016273,             0.93645,             0.89595,             0.91529,             0.86047,            0.013127,           0.0056488,            0.005991,           0.0082576,           0.0082576,           0.0082576
                  90,            0.011394,           0.0097802,            0.014774,             0.90458,             0.83558,               0.867,             0.81151,             0.01392,           0.0078969,           0.0092578,           0.0082378,           0.0082378,           0.0082378
                  91,            0.011456,           0.0097666,            0.015522,             0.65589,             0.60037,             0.62538,             0.57923,            0.016182,            0.013256,             0.02997,            0.008218,            0.008218,            0.008218
                  92,            0.011141,             0.01002,            0.016366,             0.79153,             0.74622,             0.80439,             0.75246,            0.014115,           0.0069597,            0.013887,           0.0081982,           0.0081982,           0.0081982
                  93,            0.011021,           0.0098431,            0.015958,              0.9175,             0.88484,              0.9076,             0.85244,            0.013302,           0.0055855,           0.0064612,           0.0081784,           0.0081784,           0.0081784
                  94,            0.011226,           0.0096387,            0.016726,             0.93525,             0.88304,             0.90624,             0.85052,            0.013511,           0.0062727,           0.0079135,           0.0081586,           0.0081586,           0.0081586
                  95,            0.011245,            0.009597,            0.016009,              0.9308,             0.88283,             0.91901,             0.86546,            0.013539,           0.0057304,           0.0072572,           0.0081388,           0.0081388,           0.0081388
                  96,            0.011032,           0.0099116,             0.01702,             0.94273,             0.90333,             0.92603,             0.87046,            0.013587,           0.0055424,           0.0051836,            0.008119,            0.008119,            0.008119
                  97,            0.011002,           0.0099355,            0.016826,             0.89311,             0.84645,             0.88774,             0.82996,             0.01411,           0.0062723,            0.011168,           0.0080992,           0.0080992,           0.0080992
                  98,            0.010964,           0.0096786,            0.015254,             0.93066,             0.90129,              0.9109,             0.85923,            0.013742,           0.0057704,           0.0069749,           0.0080794,           0.0080794,           0.0080794
                  99,            0.011112,           0.0093715,            0.015108,             0.91412,             0.88923,             0.91405,             0.85502,            0.013353,           0.0057289,           0.0093552,           0.0080596,           0.0080596,           0.0080596
                 100,            0.011166,           0.0093218,            0.015527,             0.93585,              0.9086,             0.92966,             0.87795,            0.013509,           0.0054176,           0.0057086,           0.0080398,           0.0080398,           0.0080398
                 101,            0.010961,           0.0090951,            0.016873,             0.93379,             0.91155,             0.92904,             0.87106,            0.013357,           0.0054891,           0.0056786,             0.00802,             0.00802,             0.00802
                 102,            0.011004,            0.009546,            0.015025,             0.92442,             0.86583,             0.89634,             0.83718,            0.013874,           0.0063622,           0.0075886,           0.0080002,           0.0080002,           0.0080002
                 103,            0.011131,            0.010069,            0.015878,             0.88113,             0.84776,             0.89548,             0.83517,            0.013574,           0.0059862,           0.0091761,           0.0079804,           0.0079804,           0.0079804
                 104,            0.011105,           0.0097446,            0.017905,             0.92717,             0.91664,             0.92302,             0.86961,            0.013229,           0.0053655,           0.0058169,           0.0079606,           0.0079606,           0.0079606
                 105,            0.010988,           0.0096744,            0.015726,             0.91518,             0.85608,             0.90209,             0.84222,            0.013341,           0.0057371,           0.0085321,           0.0079408,           0.0079408,           0.0079408
                 106,             0.01133,           0.0098013,             0.01654,             0.78697,             0.79047,             0.85507,             0.80019,            0.013997,           0.0066006,            0.016084,            0.007921,            0.007921,            0.007921
                 107,            0.010867,            0.010191,            0.016045,             0.93803,             0.87149,             0.90932,             0.85177,             0.01389,           0.0056451,           0.0062665,           0.0079012,           0.0079012,           0.0079012
                 108,            0.010767,           0.0097242,            0.016184,             0.87448,             0.81065,             0.86108,             0.80563,            0.015986,           0.0078189,            0.015078,           0.0078814,           0.0078814,           0.0078814
                 109,            0.010803,           0.0093605,            0.016879,             0.91472,             0.87774,             0.90829,              0.8482,            0.013329,           0.0061008,           0.0070868,           0.0078616,           0.0078616,           0.0078616
                 110,            0.010961,           0.0092903,            0.016357,             0.92057,             0.90417,             0.92004,             0.87455,            0.012632,           0.0055249,           0.0058975,           0.0078418,           0.0078418,           0.0078418
                 111,            0.010436,            0.009358,             0.01521,             0.89324,             0.84077,             0.87605,             0.81356,            0.013555,             0.00671,           0.0075366,            0.007822,            0.007822,            0.007822
                 112,             0.01057,           0.0091355,              0.0147,             0.91136,             0.84758,             0.89073,             0.84053,            0.013659,           0.0066888,           0.0075461,           0.0078022,           0.0078022,           0.0078022
                 113,            0.010635,           0.0093406,            0.014321,             0.93439,             0.86035,             0.91001,             0.85705,            0.013488,           0.0058611,           0.0065742,           0.0077824,           0.0077824,           0.0077824
                 114,            0.010597,           0.0097834,            0.015309,             0.92024,             0.88139,             0.91192,             0.86364,            0.012839,           0.0059212,           0.0066957,           0.0077626,           0.0077626,           0.0077626
                 115,            0.010331,           0.0090506,            0.015667,             0.82131,             0.81443,             0.86336,             0.80546,            0.014602,           0.0073688,            0.013282,           0.0077428,           0.0077428,           0.0077428
                 116,            0.011001,           0.0092856,            0.014537,             0.91964,             0.90404,             0.92897,             0.87402,            0.013227,             0.00573,           0.0059573,            0.007723,            0.007723,            0.007723
                 117,            0.010733,           0.0096778,            0.014878,             0.93539,             0.85946,             0.90466,             0.84502,            0.013423,           0.0060293,            0.005846,           0.0077032,           0.0077032,           0.0077032
                 118,            0.010935,           0.0095232,            0.015573,             0.91184,              0.8811,             0.91811,              0.8667,            0.012742,            0.005666,           0.0061431,           0.0076834,           0.0076834,           0.0076834
                 119,            0.011048,           0.0090114,            0.016242,             0.93872,             0.90243,             0.92275,             0.86853,            0.012728,           0.0056182,           0.0059783,           0.0076636,           0.0076636,           0.0076636
                 120,            0.010229,           0.0089124,            0.016006,             0.90834,             0.89597,             0.91163,             0.86489,            0.012819,           0.0060645,           0.0057961,           0.0076438,           0.0076438,           0.0076438
                 121,            0.010766,           0.0089599,            0.016156,             0.92835,             0.88427,             0.91975,             0.87344,            0.012875,           0.0057896,            0.006633,            0.007624,            0.007624,            0.007624
                 122,            0.010506,           0.0092526,            0.016237,             0.86498,             0.84062,             0.87196,             0.82304,            0.013012,           0.0072325,            0.010199,           0.0076042,           0.0076042,           0.0076042
                 123,            0.010667,           0.0092415,            0.014857,             0.94515,             0.88045,             0.91214,             0.85965,            0.013206,           0.0059099,           0.0054682,           0.0075844,           0.0075844,           0.0075844
                 124,            0.010495,            0.009443,            0.013551,             0.93152,             0.88614,             0.90267,             0.86569,            0.013067,           0.0058871,           0.0056962,           0.0075646,           0.0075646,           0.0075646
                 125,            0.010229,           0.0091704,            0.015986,             0.94168,             0.89725,             0.92475,             0.87923,            0.013253,           0.0054558,           0.0049338,           0.0075448,           0.0075448,           0.0075448
                 126,            0.010427,           0.0090356,            0.015415,              0.8907,             0.79148,             0.84187,             0.78831,            0.014375,           0.0087327,           0.0074675,            0.007525,            0.007525,            0.007525
                 127,            0.010208,           0.0090017,            0.014781,               0.931,             0.91498,             0.92205,             0.88076,            0.012765,           0.0055662,            0.005654,           0.0075052,           0.0075052,           0.0075052
                 128,            0.010437,           0.0091419,             0.01465,             0.92708,             0.88601,             0.90815,             0.86412,             0.01318,           0.0058716,            0.005483,           0.0074854,           0.0074854,           0.0074854
                 129,            0.010065,           0.0090382,            0.016034,             0.93614,             0.89971,             0.91756,             0.86916,            0.012544,           0.0055827,           0.0054823,           0.0074656,           0.0074656,           0.0074656
                 130,             0.01059,           0.0090487,            0.015493,             0.92916,             0.89746,             0.91357,             0.86728,            0.012647,           0.0055572,           0.0075938,           0.0074458,           0.0074458,           0.0074458
                 131,           0.0099011,            0.008672,            0.014846,             0.88693,             0.87593,             0.90198,             0.84929,            0.012911,           0.0056001,           0.0071447,            0.007426,            0.007426,            0.007426
                 132,           0.0098537,           0.0089882,            0.015893,             0.92845,             0.88983,             0.90853,             0.86091,             0.01314,           0.0060764,           0.0060023,           0.0074062,           0.0074062,           0.0074062
                 133,           0.0097433,            0.008426,            0.016389,             0.93148,             0.87044,             0.90362,             0.85725,            0.012629,           0.0060154,           0.0063104,           0.0073864,           0.0073864,           0.0073864
                 134,           0.0099112,           0.0085737,            0.015755,             0.89251,             0.84334,             0.88167,             0.82769,            0.013431,           0.0077782,           0.0069452,           0.0073666,           0.0073666,           0.0073666
                 135,            0.010093,           0.0090675,            0.015265,             0.92704,             0.84538,             0.90871,             0.85183,            0.013304,           0.0069061,           0.0060306,           0.0073468,           0.0073468,           0.0073468
                 136,            0.010361,           0.0088384,            0.016154,             0.91923,             0.87857,             0.92045,             0.87686,            0.011504,           0.0056692,           0.0057736,            0.007327,            0.007327,            0.007327
                 137,             0.01009,           0.0090402,            0.015061,             0.94325,              0.8946,             0.92239,             0.86947,            0.012841,           0.0057772,           0.0059659,           0.0073072,           0.0073072,           0.0073072
                 138,            0.010246,           0.0097618,            0.015961,             0.94157,             0.87326,             0.90983,             0.86326,            0.012643,           0.0057714,           0.0061427,           0.0072874,           0.0072874,           0.0072874
                 139,            0.010508,           0.0090004,            0.015152,             0.92154,             0.89709,              0.9234,              0.8703,            0.012803,           0.0056863,           0.0063368,           0.0072676,           0.0072676,           0.0072676
                 140,            0.010543,           0.0090401,            0.015212,             0.93415,             0.87751,             0.90264,             0.85335,            0.013123,           0.0061969,           0.0058601,           0.0072478,           0.0072478,           0.0072478
                 141,            0.010473,            0.008941,            0.014808,             0.90331,             0.89279,              0.9093,             0.86286,            0.013035,           0.0059458,           0.0064549,            0.007228,            0.007228,            0.007228
                 142,            0.010465,           0.0094513,            0.015499,              0.9317,             0.88811,             0.91693,             0.86815,            0.013463,           0.0053246,           0.0054548,           0.0072082,           0.0072082,           0.0072082
